Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),HeartRate (bpm),BloodOxygen (Sp02),BodyTemp (Celcius)
338,1620317742191,42.0,96.0,26.0
339,1620317742192,42.0,96.0,26.0
340,1620317742192,42.0,96.0,26.0
341,1620317742192,42.0,96.0,26.0
342,1620317742192,42.0,96.0,26.0
343,1620317742192,42.0,96.0,26.0
344,1620317742192,42.0,96.0,26.0
345,1620317742192,42.0,96.0,26.0
346,1620317742192,42.0,96.0,26.0
347,1620317742192,42.0,96.0,26.0
348,1620317742192,42.0,96.0,26.0
349,1620317742192,42.0,96.0,26.0
350,1620317742192,42.0,96.0,26.0
351,1620317742192,42.0,96.0,26.0
352,1620317742192,42.0,96.0,26.0
353,1620317742192,42.0,96.0,26.0
354,1620317742192,42.0,96.0,26.0
355,1620317742192,42.0,96.0,26.0
356,1620317742192,42.0,96.0,26.0
357,1620317742192,42.0,96.0,26.0
358,1620317742192,42.0,96.0,26.0
359,1620317742192,42.0,96.0,26.0
360,1620317742192,42.0,96.0,26.0
361,1620317742192,42.0,96.0,26.0
362,1620317742192,42.0,96.0,26.0
363,1620317742192,42.0,96.0,26.0
364,1620317742192,42.0,96.0,26.0
365,1620317742192,42.0,96.0,26.0
366,1620317742192,42.0,96.0,26.0
367,1620317742192,42.0,96.0,26.0
368,1620317742192,42.0,96.0,26.0
369,1620317742192,42.0,96.0,26.0
370,1620317742192,42.0,96.0,26.0
371,1620317742192,42.0,96.0,26.0
372,1620317742192,42.0,96.0,26.0
373,1620317742192,42.0,96.0,26.0
374,1620317742192,42.0,96.0,26.0
375,1620317742192,42.0,96.0,26.0
376,1620317742192,42.0,96.0,26.0
377,1620317742192,42.0,96.0,26.0
378,1620317742192,42.0,96.0,26.0
379,1620317742192,42.0,96.0,26.0
380,1620317742192,42.0,96.0,26.0
381,1620317742192,42.0,96.0,26.0
382,1620317742192,42.0,96.0,26.0
383,1620317742193,42.0,96.0,26.0
384,1620317742193,42.0,96.0,26.0
385,1620317742193,42.0,96.0,26.0
386,1620317742193,42.0,96.0,26.0
387,1620317742193,42.0,96.0,26.0
388,1620317742193,42.0,96.0,26.0
389,1620317742193,42.0,96.0,26.0
390,1620317742193,42.0,96.0,26.0
391,1620317742193,42.0,96.0,26.0
392,1620317742193,42.0,96.0,26.0
393,1620317742193,42.0,96.0,26.0
394,1620317742193,42.0,96.0,26.0
395,1620317742193,42.0,96.0,26.0
396,1620317742193,42.0,96.0,26.0
397,1620317742193,42.0,96.0,26.0
398,1620317742193,42.0,96.0,26.0
399,1620317742193,42.0,96.0,26.0
400,1620317742193,42.0,96.0,26.0
401,1620317742193,42.0,96.0,26.0
402,1620317742193,42.0,96.0,26.0
403,1620317742193,42.0,96.0,26.0
404,1620317742193,42.0,96.0,26.0
405,1620317742193,42.0,96.0,26.0
406,1620317742193,42.0,96.0,26.0
407,1620317742193,42.0,96.0,26.0
408,1620317742193,42.0,96.0,26.0
409,1620317742193,42.0,96.0,26.0
410,1620317742193,42.0,96.0,26.0
411,1620317742193,42.0,96.0,26.0
412,1620317742193,42.0,96.0,26.0
413,1620317742193,42.0,96.0,26.0
414,1620317742193,42.0,96.0,26.0
415,1620317742193,42.0,96.0,26.0
416,1620317742193,42.0,96.0,26.0
417,1620317742193,42.0,96.0,26.0
418,1620317742193,42.0,96.0,26.0
419,1620317742193,42.0,96.0,26.0
420,1620317742193,42.0,96.0,26.0
421,1620317742193,42.0,96.0,26.0
422,1620317742194,42.0,96.0,26.0
423,1620317742194,42.0,96.0,26.0
424,1620317742194,42.0,96.0,26.0
425,1620317742194,42.0,96.0,26.0
426,1620317742194,42.0,96.0,26.0
427,1620317742194,42.0,96.0,26.0
428,1620317742194,42.0,96.0,26.0
429,1620317742194,42.0,96.0,26.0
430,1620317742194,42.0,96.0,26.0
431,1620317742194,42.0,96.0,26.0
432,1620317742194,42.0,96.0,26.0
433,1620317742194,42.0,96.0,26.0
434,1620317742194,42.0,96.0,26.0
435,1620317742194,42.0,96.0,26.0
436,1620317742194,42.0,96.0,26.0
437,1620317742194,42.0,96.0,26.0
438,1620317742194,42.0,96.0,26.0
439,1620317742194,42.0,96.0,26.0
440,1620317742194,42.0,96.0,26.0
441,1620317742194,42.0,96.0,26.0
442,1620317742194,42.0,96.0,26.0
443,1620317742194,42.0,96.0,26.0
444,1620317742194,42.0,96.0,26.0
445,1620317742194,42.0,96.0,26.0
446,1620317742194,42.0,96.0,26.0
447,1620317742194,42.0,96.0,26.0
448,1620317742194,42.0,96.0,26.0
449,1620317742194,42.0,96.0,26.0
450,1620317742194,42.0,96.0,26.0
451,1620317742194,42.0,96.0,26.0
452,1620317742194,42.0,96.0,26.0
453,1620317742194,42.0,96.0,26.0
454,1620317742194,42.0,96.0,26.0
455,1620317742194,42.0,96.0,26.0
456,1620317742194,42.0,96.0,26.0
457,1620317742194,42.0,96.0,26.0
458,1620317742194,42.0,96.0,26.0
459,1620317742194,42.0,96.0,26.0
460,1620317742194,42.0,96.0,26.0
461,1620317742194,42.0,96.0,26.0
462,1620317742194,42.0,96.0,26.0
463,1620317742194,42.0,96.0,26.0
464,1620317742194,42.0,96.0,26.0
465,1620317742194,42.0,96.0,26.0
466,1620317742194,42.0,96.0,26.0
467,1620317742194,42.0,96.0,26.0
468,1620317742194,42.0,96.0,26.0
469,1620317742194,42.0,96.0,26.0
470,1620317742194,42.0,96.0,26.0
471,1620317742194,42.0,96.0,26.0
472,1620317742195,42.0,96.0,26.0
473,1620317742195,42.0,96.0,26.0
474,1620317742195,42.0,96.0,26.0
475,1620317742195,42.0,96.0,26.0
476,1620317742195,42.0,96.0,26.0
477,1620317742195,42.0,96.0,26.0
478,1620317742195,42.0,96.0,26.0
479,1620317742195,42.0,96.0,26.0
480,1620317742195,42.0,96.0,26.0
481,1620317742195,42.0,96.0,26.0
482,1620317742195,42.0,96.0,26.0
483,1620317742195,42.0,96.0,26.0
484,1620317742195,42.0,96.0,26.0
485,1620317742195,42.0,96.0,26.0
486,1620317742195,42.0,96.0,26.0
487,1620317742195,42.0,96.0,26.0
488,1620317742195,42.0,96.0,26.0
489,1620317742195,42.0,96.0,26.0
490,1620317742195,42.0,96.0,26.0
491,1620317742195,42.0,96.0,26.0
492,1620317742195,42.0,96.0,26.0
493,1620317742195,42.0,96.0,26.0
494,1620317742195,42.0,96.0,26.0
495,1620317742195,42.0,96.0,26.0
496,1620317742195,42.0,96.0,26.0
497,1620317742195,42.0,96.0,26.0
498,1620317742195,42.0,96.0,26.0
499,1620317742195,42.0,96.0,26.0
500,1620317742195,42.0,96.0,26.0
501,1620317742195,42.0,96.0,26.0
502,1620317742195,42.0,96.0,26.0
503,1620317742195,42.0,96.0,26.0
504,1620317742195,42.0,96.0,26.0
505,1620317742195,42.0,96.0,26.0
